Concept	Preferred Term	Id
Deferred diagnosis on Axis V (disorder)	Deferred diagnosis on Axis V	89989005
Panic disorder with agoraphobia AND mild panic attacks (disorder)	Panic disorder with agoraphobia AND mild panic attacks	89948007
Persecutory delusion disorder (disorder)	Persecutory delusion disorder	89618007
Tic of organic origin (disorder)	Tic of organic origin	89601008
Inhalant-induced mood disorder (disorder)	Inhalant-induced mood disorder	89451009
Hypersomnia disorder related to another mental disorder (disorder)	Hypersomnia disorder related to another mental disorder	89415002
Erotic zoophilia (disorder)	Erotic zoophilia	89248000
Axis III diagnosis (disorder)	Axis III diagnosis	89016005
Dissociative paralysis (disorder)	Dissociative paralysis	88984006
Schizophreniform disorder (disorder)	Schizophreniform disorder	88975006
Severe mood disorder without psychotic features (disorder)	Severe mood disorder without psychotic features	88939009
Dissociative blindness (disorder)	Dissociative blindness	88902008
Explosive type organic personality disorder (disorder)	Explosive type organic personality disorder	88845000
Thyrotoxicosis factitia with thyrotoxic crisis (disorder)	Thyrotoxicosis factitia with thyrotoxic crisis	88740003
Gender identity disorder (disorder)	Gender identity disorder	87991007
Bipolar I disorder, single manic episode with catatonic features (disorder)	Bipolar I disorder, single manic episode with catatonic features	87950005
Generalized neuromuscular exhaustion syndrome (disorder)	Generalised neuromuscular exhaustion syndrome	87842000
Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks	87798009
Mild major depression (disorder)	Mild major depression	87512008
Reactive depression (situational) (disorder)	Reactive depression (situational)	87414006
Bipolar I disorder, most recent episode depressed with postpartum onset (disorder)	Bipolar I disorder, most recent episode depressed with postpartum onset	87203005
Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent (disorder)	Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent	86058007
Subchronic undifferentiated schizophrenia (disorder)	Subchronic undifferentiated schizophrenia	85861002
Acute non-psychotic brain syndrome (disorder)	Acute non-psychotic brain syndrome	85821003
Bipolar disorder in remission (disorder)	Bipolar disorder in remission	85248005
Secondary dysthymia (disorder)	Secondary dysthymia	85080004
Separation anxiety disorder of childhood, early onset (disorder)	Separation anxiety disorder of childhood, early onset	85061001
Adjustment disorder with disturbance of conduct (disorder)	Adjustment disorder with disturbance of conduct	84984002
Menopausal depression (disorder)	Menopausal depression	84788008
Schizoaffective disorder, depressive type (disorder)	Schizoaffective disorder, depressive type	84760002
Dependent personality disorder (disorder)	Dependent personality disorder	84466009
Psychogenic amnesia (disorder)	Psychogenic amnesia	84209002
Pedophilia (disorder)	Pedophilia	84002002
Cluster C personality disorder (disorder)	Cluster C personality disorder	83890006
Chronic schizophrenia (disorder)	Chronic schizophrenia	83746006
Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks	83631006
Organic mood disorder of mixed type (disorder)	Organic mood disorder of mixed type	83501007
Body dysmorphic disorder (disorder)	Body dysmorphic disorder	83482000
Agitated depression (disorder)	Agitated depression	83458005
Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)	Amphetamine-induced organic mental disorder	83367009
Shyness disorder of childhood (disorder)	Shyness disorder of childhood	83253003
Ghost sickness (disorder)	Ghost sickness	83233002
Bipolar II disorder (disorder)	Bipolar II disorder	83225003
Primary dysthymia (disorder)	Primary dysthymia	83176005
Moderate manic bipolar I disorder (disorder)	Moderate manic bipolar I disorder	82998009
Dementia paralytica juvenilis (disorder)	Dementia paralytica juvenilis	82959004
Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks	82738004
Orgasm disorder (disorder)	Orgasm disorder	82636008
Panic disorder without agoraphobia with panic attacks in full remission (disorder)	Panic disorder without agoraphobia with panic attacks in full remission	82494000
Agoraphobia without history of panic disorder without limited symptom attacks (disorder)	Agoraphobia without history of panic disorder without limited symptom attacks	82415003
Anxiety disorder caused by amfetamine (disorder)	Amphetamine-induced anxiety disorder	82339009
Postoperative depression (disorder)	Postoperative depression	82218004
Inhibited male orgasm (disorder)	Inhibited male orgasm	81903006
Hwa-byung (disorder)	Hwa-byung	81812009
Bestiality (disorder)	Bestiality	81463002
Severe bipolar II disorder, most recent episode major depressive without psychotic features (disorder)	Severe bipolar II disorder, most recent episode major depressive without psychotic features	81319007
Narcissistic personality disorder (disorder)	Narcissistic personality disorder	80711002
Subchronic paranoid schizophrenia (disorder)	Subchronic paranoid schizophrenia	79866005
Stuporous depression (disorder)	Stuporous depression	79842004
Moderate bipolar disorder (disorder)	Moderate bipolar disorder	79584002
Ecouteurism (disorder)	Ecouteurism	79524000
Cheshire cat syndrome (disorder)	Cheshire cat syndrome	79459002
Mild major depression, single episode (disorder)	Mild major depression, single episode	79298009
Chronic undifferentiated schizophrenia with acute exacerbations (disorder)	Chronic undifferentiated schizophrenia with acute exacerbations	79204003
Dysthymia (disorder)	Dysthymia	78667006
Severe manic bipolar I disorder with psychotic features, mood-congruent (disorder)	Severe manic bipolar I disorder with psychotic features, mood-congruent	78640000
Bipolar I disorder, single manic episode, in partial remission (disorder)	Bipolar I disorder, single manic episode, in partial remission	78269000
Bulimia nervosa (disorder)	Bulimia nervosa	78004001
Severe major depression, single episode, with psychotic features, mood-congruent (disorder)	Severe major depression, single episode, with psychotic features, mood-congruent	77911002
Gender identity disorder of adulthood, previously homosexual (disorder)	Gender identity disorder of adulthood, previously homosexual	77815007
Anorexia nervosa, restricting type (disorder)	Anorexia nervosa, restricting type	77675002
Mood disorder with major depressive-like episode due to general medical condition (disorder)	Mood disorder with major depressive-like episode due to general medical condition	77486005
Jealous delusion disorder (disorder)	Jealous delusion disorder	77475008
Adductor spastic dysphonia of conversion reaction (disorder)	Adductor spastic dysphonia of conversion reaction	77375009
Organic mental disorder caused by cannabis (disorder)	Cannabis-induced organic mental disorder	77355000
Partialism (disorder)	Partialism	77332003
Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks	76868007
Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission	76812003
Subchronic residual schizophrenia (disorder)	Subchronic residual schizophrenia	76566000
Severe major depression, single episode, without psychotic features (disorder)	Severe major depression, single episode, without psychotic features	76441001
Mal de ojo (disorder)	Mal de ojo	76399004
Atypical tic disorder (disorder)	Atypical tic disorder	76236006
Ganser syndrome (disorder)	Ganser syndrome	76129002
Cyclothymia (disorder)	Cyclothymia	76105009
Mood disorder with depressive features due to general medical condition (disorder)	Mood disorder with depressive features due to general medical condition	75837004
Bipolar I disorder, most recent episode depressed with melancholic features (disorder)	Bipolar I disorder, most recent episode depressed with melancholic features	75752004
Sangue dormido (disorder)	Sangue dormido	75605002
Bipolar I disorder, single manic episode, in remission (disorder)	Bipolar I disorder, single manic episode, in remission	75360000
Inhalant-induced psychotic disorder with delusions (disorder)	Inhalant-induced psychotic disorder with delusions	75122001
Severe major depression without psychotic features (disorder)	Severe major depression without psychotic features	75084000
Conduct disorder, solitary aggressive type (disorder)	Conduct disorder, solitary aggressive type	74850006
Taijin kyofusho (disorder)	Taijin kyofusho	74803002
Pedophilia, limited to incest (disorder)	Paedophilia, limited to incest	74791000
Mild depressed bipolar I disorder (disorder)	Mild depressed bipolar I disorder	74686005
Mood disorder in partial remission (disorder)	Mood disorder in partial remission	74266001
Feeding disorder of infancy OR early childhood (disorder)	Feeding disorder of infancy OR early childhood	74142004
Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission	74010007
Postpartum neurosis (disorder)	Postpartum neurosis	73972002
Severe major depression with psychotic features (disorder)	Severe major depression with psychotic features	73867007
Bipolar I disorder, most recent episode mixed with catatonic features (disorder)	Bipolar I disorder, most recent episode mixed with catatonic features	73471000
Chronic vocal tic disorder (disorder)	Chronic vocal tic disorder	73462009
Alcohol amnestic disorder (disorder)	Alcohol amnestic disorder	73097000
Panic disorder without agoraphobia with mild panic attacks (disorder)	Panic disorder without agoraphobia with mild panic attacks	72861004
Eating disorder (disorder)	Eating disorder	72366004
Mild manic bipolar I disorder (disorder)	Mild manic bipolar I disorder	71984005
Childhood disintegrative disorder (disorder)	Childhood disintegrative disorder	71961003
Elective mutism (disorder)	Elective mutism	71959007
Astasia-abasia (disorder)	Astasia-abasia	71802006
Psychologic vaginismus (disorder)	Psychologic vaginismus	71787009
Recurrent major depressive disorder with postpartum onset (disorder)	Recurrent major depressive disorder with postpartum onset	71336009
Mild bipolar II disorder, most recent episode major depressive (disorder)	Mild bipolar II disorder, most recent episode major depressive	71294008
Chronic residual schizophrenia (disorder)	Chronic residual schizophrenia	71103003
Dissociative deafness (disorder)	Dissociative deafness	70967007
Multi-infarct dementia, uncomplicated (disorder)	Multi-infarct dementia, uncomplicated	70936005
Compulsive pedophilia (disorder)	Compulsive paedophilia	70922000
Subchronic residual schizophrenia with acute exacerbations (disorder)	Subchronic residual schizophrenia with acute exacerbations	70814008
Depersonalization disorder (disorder)	Depersonalisation disorder	70764005
Major depression single episode, in partial remission (disorder)	Major depression single episode, in partial remission	70747007
Agoraphobia (disorder)	Agoraphobia	70691001
Caffeine-induced anxiety disorder (disorder)	Caffeine-induced anxiety disorder	70655008
Severe bipolar disorder with psychotic features, mood-congruent (disorder)	Severe bipolar disorder with psychotic features, mood-congruent	70546001
Cocaine intoxication delirium (disorder)	Cocaine intoxication delirium	70328006
Conversion muteness (disorder)	Conversion muteness	70066000
Severe mood disorder with psychotic features, mood-incongruent (disorder)	Severe mood disorder with psychotic features, mood-incongruent	70043001
Korsakoff's psychosis (disorder)	Korsakoff's psychosis	69482004
Anxiety hyperventilation (disorder)	Anxiety hyperventilation	69479009
Conversion aphonia (disorder)	Conversion aphonia	69403006
Major depressive disorder, single episode with catatonic features (disorder)	Major depressive disorder, single episode with catatonic features	69392006
Kleptomania (disorder)	Kleptomania	69361009
Psychotic disorder (disorder)	Psychotic disorder	69322001
Chronic catatonic schizophrenia (disorder)	Chronic catatonic schizophrenia	68995007
Gender identity disorder of adolescence, previously heterosexual (disorder)	Gender identity disorder of adolescence, previously heterosexual	68963006
Schizoaffective disorder (disorder)	Schizoaffective disorder	68890003
Rett's disorder (disorder)	Rett's disorder	68618008
Manic bipolar I disorder (disorder)	Manic bipolar I disorder	68569003
Recurrent major depression in remission (disorder)	Recurrent major depression in remission	68019004
Primary dysthymia late onset (disorder)	Primary dysthymia late onset	67711008
Pedophilia, same sex (disorder)	Pedophilia, same sex	67227000
Acute stress disorder (disorder)	Acute stress disorder	67195008
Adult gender identity disorder, sexually attracted to both sexes (disorder)	Adult gender identity disorder, sexually attracted to both sexes	67123006
Severe bipolar II disorder, most recent episode major depressive, in partial remission (disorder)	Severe bipolar II disorder, most recent episode major depressive, in partial remission	67002003
Identity disorder (disorder)	Identity disorder	66936004
Moderate depressed bipolar I disorder (disorder)	Moderate depressed bipolar I disorder	66631006
Psychogenic headache (disorder)	Psychogenic headache	66551002
Adjustment disorder with mixed disturbance of emotions AND conduct (disorder)	Adjustment disorder with mixed disturbance of emotions AND conduct	66381006
Impulse control disorder (disorder)	Impulse control disorder	66347000
Recurrent major depression (disorder)	Recurrent major depression	66344007
Conduct disorder, group type (disorder)	Conduct disorder, group type	66307007
Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated	66108005
Psychogenic torticollis (disorder)	Psychogenic torticollis	65438001
Compulsive sexual masochism (disorder)	Compulsive sexual masochism	65410009
Psychogenic alopecia (disorder)	Psychogenic alopecia	65384007
Locuru (disorder)	Locuru	65207000
Koro (disorder)	Koro	65179007
Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium	65096006
Panic disorder without agoraphobia with moderate panic attacks (disorder)	Panic disorder without agoraphobia with moderate panic attacks	65064003
Bipolar I disorder, most recent episode mixed with postpartum onset (disorder)	Bipolar I disorder, most recent episode mixed with postpartum onset	65042007
Paranoid schizophrenia (disorder)	Paranoid schizophrenia	64905009
Severe mixed bipolar I disorder with psychotic features, mood-congruent (disorder)	Severe mixed bipolar I disorder with psychotic features, mood-congruent	64731001
Avoidant disorder of childhood (disorder)	Avoidant disorder of childhood	64165008
Psychogenic voice disorder (disorder)	Psychogenic voice disorder	64161004
Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission	64060000
Psychogenic urticaria (disorder)	Psychogenic urticaria	63990000
Inhalant-induced psychotic disorder with hallucinations (disorder)	Inhalant-induced psychotic disorder with hallucinations	63983005
Panic disorder with agoraphobia AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia AND panic attacks in partial remission	63909006
Voyeurism (disorder)	Voyeurism	63835008
Major depressive disorder, single episode with melancholic features (disorder)	Major depressive disorder, single episode with melancholic features	63778009
Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks (disorder)	Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks	63701002
Cannabis delusional disorder (disorder)	Cannabis delusional disorder	63649001
Major depression in full remission (disorder)	Major depression in full remission	63412003
Folie à trois (disorder)	Folie à trois	63395003
Anorexia nervosa, binge-eating purging type (disorder)	Anorexia nervosa, binge-eating purging type	63393005
Manic bipolar I disorder in partial remission (disorder)	Manic bipolar I disorder in partial remission	63249007
Bouffée délirante (disorder)	Bouffée délirante	63204009
Paranoid schizophrenia in remission (disorder)	Paranoid schizophrenia in remission	63181006
Urophilia (disorder)	Urophilia	62792007
Frotteurism (disorder)	Frotteurism	62491004
Generalized social phobia (disorder)	Generalized social phobia	62351001
Conduct disorder, undifferentiated type (disorder)	Conduct disorder, undifferentiated type	61901004
Induced psychotic disorder (disorder)	Induced psychotic disorder	61831009
Agoraphobia without history of panic disorder (disorder)	Agoraphobia without history of panic disorder	61569007
Severe depressed bipolar I disorder without psychotic features (disorder)	Severe depressed bipolar I disorder without psychotic features	61403008
Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks	61212007
Adult gender identity disorder, sexually attracted to neither sex (disorder)	Adult gender identity disorder, sexually attracted to neither sex	61180001
Combat fatigue (disorder)	Combat fatigue	61157009
Alcohol-induced psychotic disorder with delusions (disorder)	Alcohol-induced psychotic disorder with delusions	61144001
Inhalant-induced organic mental disorder (disorder)	Inhalant-induced organic mental disorder	61104008
Delusional disorder, mixed type (disorder)	Delusional disorder, mixed type	60123008
Inhibited female orgasm (disorder)	Inhibited female orgasm	60103007
Severe major depression with psychotic features, mood-incongruent (disorder)	Severe major depression with psychotic features, mood-incongruent	60099002
Panic disorder with agoraphobia AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia AND panic attacks in full remission	59923000
Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia	59651006
Bulimia nervosa, nonpurging type (disorder)	Bulimia nervosa, nonpurging type	59645001
Severe depressed bipolar I disorder with psychotic features (disorder)	Severe depressed bipolar I disorder with psychotic features	59617007
Sexual sadism (disorder)	Sexual sadism	59394009
Adult gender identity disorder, sexually attracted to males (disorder)	Adult gender identity disorder, sexually attracted to males	59216005
Fetishism (disorder)	Fetishism	59174009
Symptomatic exhibitionism (disorder)	Symptomatic exhibitionism	58855008
Huntington's chorea (disorder)	Huntington's chorea	58756001
Postpartum depression (disorder)	Postpartum depression	58703003
Severe mood disorder with psychotic features, mood-congruent (disorder)	Severe mood disorder with psychotic features, mood-congruent	58647003
Physical AND emotional exhaustion state (disorder)	Physical AND emotional exhaustion state	58535001
Exhibitionism (disorder)	Exhibitionism	58349009
Organic mood disorder of manic type (disorder)	Organic mood disorder of manic type	58329000
Schizophrenia (disorder)	Schizophrenia	58214004
Gender identity disorder of adolescence (disorder)	Gender identity disorder of adolescence	57715001
Adjustment disorder with depressed mood (disorder)	Adjustment disorder with depressed mood	57194009
Anorexia nervosa (disorder)	Anorexia nervosa	56882008
Axis II diagnosis (disorder)	Axis II diagnosis	56641006
Psychosexual disorder (disorder)	Psychosexual disorder	56627002
Panic disorder without agoraphobia (disorder)	Panic disorder without agoraphobia	56576003
Transient tic disorder (disorder)	Transient tic disorder	56573006
Multi-infarct dementia (disorder)	Multi-infarct dementia	56267009
Necrosadism (disorder)	Necrosadism	56095002
Compulsive exhibitionism (disorder)	Compulsive exhibitionism	56034001
Anxiety disorder caused by phencyclidine (disorder)	Anxiety disorder caused by phencyclidine	55967005
Schizophreniform disorder without good prognostic features (disorder)	Schizophreniform disorder without good prognostic features	55736003
Sexual aversion disorder (disorder)	Sexual aversion disorder	55728007
Adjustment disorder with mixed emotional features (disorder)	Adjustment disorder with mixed emotional features	55668003
Bipolar I disorder, most recent episode manic with postpartum onset (disorder)	Bipolar I disorder, most recent episode manic with postpartum onset	55516002
Histrionic personality disorder (disorder)	Histrionic personality disorder	55341008
Primary degenerative dementia of the Alzheimer type, senile onset, with delusions (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset, with delusions	55009008
Severe depressed bipolar I disorder with psychotic features, mood-congruent (disorder)	Severe depressed bipolar I disorder with psychotic features, mood-congruent	54761006
Simple phobia (disorder)	Simple phobia	54587008
Windigo (disorder)	Windigo	54560009
Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions	54502004
Adult gender identity disorder, sexually attracted to females (disorder)	Adult gender identity disorder, sexually attracted to females	54417002
Disruptive behavior disorder (disorder)	Disruptive behavior disorder	54319003
Panic disorder without agoraphobia with panic attacks in partial remission (disorder)	Panic disorder without agoraphobia with panic attacks in partial remission	53956006
Depressed bipolar I disorder in remission (disorder)	Depressed bipolar I disorder in remission	53607008
Anxiety disorder of childhood (disorder)	Anxiety disorder of childhood	53467004
Organic mental disorder caused by hallucinogen (disorder)	Organic mental disorder caused by hallucinogen	53050002
Severe bipolar disorder without psychotic features (disorder)	Severe bipolar disorder without psychotic features	53049002
Schizoid personality disorder (disorder)	Schizoid personality disorder	52954000
Anxiety disorder due to a general medical condition (disorder)	Anxiety disorder due to a general medical condition	52910006
Opioid intoxication delirium (disorder)	Opioid intoxication delirium	52866005
Developmental reading disorder (disorder)	Developmental reading disorder	52824009
Dementia (disorder)	Dementia	52448006
Heat stroke (disorder)	Heat stroke	52072009
Susto (disorder)	Susto	51946000
General paresis - neurosyphilis (disorder)	General paresis - neurosyphilis	51928006
Chronic bipolar I disorder, most recent episode depressed (disorder)	Chronic bipolar I disorder, most recent episode depressed	51637008
Anxiety disorder caused by cocaine (disorder)	Anxiety disorder caused by cocaine	51493001
Amphetamine-induced psychotic disorder with hallucinations (disorder)	Amphetamine-induced psychotic disorder with hallucinations	51443000
Sexual masochism (disorder)	Sexual masochism	51239001
Residual schizophrenia in remission (disorder)	Residual schizophrenia in remission	51133006
Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission	50983008
Hallucinogen delusional disorder (disorder)	Hallucinogen delusional disorder	50933003
Delusional disorder caused by phencyclidine (disorder)	Phencyclidine (PCP) delusional disorder	50722006
Factitious disorder (disorder)	Factitious disorder	50705009
Latah (disorder)	Latah	50643003
Paraphilia (disorder)	Paraphilia	50299009
Organic anxiety disorder caused by psychoactive substance (disorder)	Organic anxiety disorder caused by psychoactive substance	50026000
Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks (disorder)	Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks	49564006
Depressed bipolar I disorder in partial remission (disorder)	Depressed bipolar I disorder in partial remission	49512000
Postseizure delirium (disorder)	Postseizure delirium	49481000
Depressed bipolar I disorder (disorder)	Depressed bipolar I disorder	49468007
Deferred diagnosis on Axis II (disorder)	Deferred diagnosis on Axis II	49271002
Bipolar II disorder, most recent episode hypomanic (disorder)	Bipolar II disorder, most recent episode hypomanic	48937005
Conduct disorder, adolescent-onset type (disorder)	Conduct disorder, adolescent-onset type	48826008
Minor depressive disorder (disorder)	Minor depressive disorder	48589009
Delusional disorder (disorder)	Delusional disorder	48500005
Pedophilia, nonexclusive type (disorder)	Paedophilia, nonexclusive type	48309007
Symptomatic sexual masochism (disorder)	Symptomatic sexual masochism	48046002
Developmental arithmetic disorder (disorder)	Developmental arithmetic disorder	47916000
Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations	47664006
Posttraumatic stress disorder (disorder)	Posttraumatic stress disorder	47505003
Grandiose delusion disorder (disorder)	Grandiose delusion disorder	47447001
Adjustment disorder with anxious mood (disorder)	Adjustment disorder with anxious mood	47372000
Organic mental disorder caused by cocaine (disorder)	Organic mental disorder caused by cocaine	46975003
Sexual desire disorder (disorder)	Sexual desire disorder	46762006
Organic personality disorder caused by psychoactive substance (disorder)	Organic personality disorder caused by psychoactive substance	46721000
Lecherism (disorder)	Lecherism	46432001
Recurrent major depression in full remission (disorder)	Recurrent major depression in full remission	46244001
Severe mixed bipolar I disorder without psychotic features (disorder)	Severe mixed bipolar I disorder without psychotic features	46229002
Mood disorder (disorder)	Mood disorder	46206005
Pedophilia, same AND opposite sex (disorder)	Paedophilia, same AND opposite sex	46023009
Erotic vomiting (disorder)	Erotic vomiting	45994004
Necrophilia (disorder)	Necrophilia	45924006
Organic hallucinosis (disorder)	Organic hallucinosis	45912004
Developmental expressive writing disorder (disorder)	Developmental expressive writing disorder	45677003
Manic bipolar I disorder in remission (disorder)	Manic bipolar I disorder in remission	45479006
Passive aggressive personality disorder (disorder)	Passive aggressive personality disorder	44966003
Recurrent transient tic disorder (disorder)	Recurrent transient tic disorder	44433009
Dissociative disorder (disorder)	Dissociative disorder	44376007
Reactive attachment disorder of early childhood (disorder)	Reactive attachment disorder of early childhood	44124003
Postseizure confusion (disorder)	Postseizure confusion	44031002
Mild mixed bipolar I disorder (disorder)	Mild mixed bipolar I disorder	43769008
Autistic disorder of childhood onset (disorder)	Autistic disorder of childhood onset	43614003
Bipolar II disorder, most recent episode major depressive with atypical features (disorder)	Bipolar II disorder, most recent episode major depressive with atypical features	43568002
Amphetamine-induced mood disorder (disorder)	Amphetamine-induced mood disorder	43497001
Panic disorder without agoraphobia with severe panic attacks (disorder)	Panic disorder without agoraphobia with severe panic attacks	43150009
Major depressive disorder, single episode with atypical features (disorder)	Major depressive disorder, single episode with atypical features	42925002
Subchronic catatonic schizophrenia (disorder)	Subchronic catatonic schizophrenia	42868002
Major depression in remission (disorder)	Major depression in remission	42810003
Organic mood disorder of depressed type (disorder)	Organic mood disorder of depressed type	42594001
Amok (disorder)	Amok	41932008
Bipolar disorder in full remission (disorder)	Bipolar disorder in full remission	41836007
Severe bipolar I disorder, single manic episode with psychotic features (disorder)	Severe bipolar I disorder, single manic episode with psychotic features	41832009
Ataque de nervios (disorder)	Ataque de nervios	41673007
Mild bipolar I disorder, single manic episode (disorder)	Mild bipolar I disorder, single manic episode	41552001
Reactive attachment disorder (disorder)	Reactive attachment disorder	41526007
Flagellantism (disorder)	Flagellantism	41524005
Dhat (disorder)	Dhat	41196008
Psychologic dyspareunia (disorder)	Psychologic dyspareunia	41021005
Intermittent explosive disorder (disorder)	Intermittent explosive disorder	40987004
Zar (disorder)	Zar	40950007
Moderate mixed bipolar I disorder (disorder)	Moderate mixed bipolar I disorder	40926005
Post-encephalitic syndrome (disorder)	Post-encephalitic syndrome	40673001
Hallucinogen intoxication delirium (disorder)	Hallucinogen intoxication delirium	40571009
Recurrent brief depressive disorder (disorder)	Recurrent brief depressive disorder	40568001
Mild recurrent major depression (disorder)	Mild recurrent major depression	40379007
Stereotypic movement disorder with self-injurious behavior (disorder)	Stereotypic movement disorder with self-injurious behavior	40083003
Cannabis-induced anxiety disorder (disorder)	Cannabis-induced anxiety disorder	39951001
Recurrent major depressive disorder with catatonic features (disorder)	Recurrent major depressive disorder with catatonic features	39809009
Cannabis intoxication delirium (disorder)	Cannabis intoxication delirium	39807006
Undifferentiated schizophrenia in remission (disorder)	Undifferentiated schizophrenia in remission	39610001
Emotional deprivation syndrome (disorder)	Emotional deprivation syndrome	39465007
Psychoactive substance-induced organic delirium (disorder)	Psychoactive substance-induced organic delirium	39003006
Recurrent major depressive disorder with atypical features (disorder)	Recurrent major depressive disorder with atypical features	38694004
Mood disorder in full remission (disorder)	Mood disorder in full remission	38547003
Primary dysthymia early onset (disorder)	Primary dysthymia early onset	38451003
Schizoaffective disorder, bipolar type (disorder)	Schizoaffective disorder, bipolar type	38368003
Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission	38328002
Involutional paraphrenia (disorder)	Involutional paraphrenia	38295006
Rumination disorder (disorder)	Rumination disorder	37941009
Avoidant disorder of childhood OR adolescence (disorder)	Avoidant disorder of childhood OR adolescence	37872007
Anxiety disorder of adolescence (disorder)	Anxiety disorder of adolescence	37868008
Avoidant personality disorder (disorder)	Avoidant personality disorder	37746008
Mood disorder due to a general medical condition (disorder)	Mood disorder due to a general medical condition	37739004
Organic mood disorder caused by psychoactive substance (disorder)	Organic mood disorder caused by psychoactive substance	37331004
Psychogenic vomiting (disorder)	Psychogenic vomiting	37224001
Major depression, single episode (disorder)	Major depression, single episode	36923009
Mild mood disorder (disorder)	Mild mood disorder	36622002
Mixed bipolar I disorder in partial remission (disorder)	Mixed bipolar I disorder in partial remission	36583000
Severe recurrent major depression without psychotic features (disorder)	Severe recurrent major depression without psychotic features	36474008
Pygmalionism (disorder)	Pygmalionism	36262007
Organic personality disorder (disorder)	Organic personality disorder	36217008
Secondary dysthymia late onset (disorder)	Secondary dysthymia late onset	36170009
Schizophreniform disorder with good prognostic features (disorder)	Schizophreniform disorder with good prognostic features	36158005
Rumination disorder of infancy (disorder)	Rumination disorder of infancy	36039004
Pervasive developmental disorder (disorder)	Autism spectrum disorder	35919005
Moderate bipolar II disorder, most recent episode major depressive (disorder)	Moderate bipolar II disorder, most recent episode major depressive	35846004
Recurrent conversion disorder (disorder)	Recurrent conversion disorder	35827000
Severe bipolar II disorder, most recent episode major depressive, in remission (disorder)	Severe bipolar II disorder, most recent episode major depressive, in remission	35722002
Panic disorder with agoraphobia (disorder)	Panic disorder with agoraphobia	35607004
Depressive disorder (disorder)	Depressive disorder	35489007
Mixed bipolar I disorder in remission (disorder)	Mixed bipolar I disorder in remission	35481005
Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)	Attention deficit hyperactivity disorder, predominantly inattentive type	35253001
Disorganized schizophrenia (disorder)	Disorganized schizophrenia	35252006
Chronic disorganized schizophrenia with acute exacerbation (disorder)	Chronic disorganised schizophrenia with acute exacerbation	35218008
Anxiety disorder caused by alcohol (disorder)	Anxiety disorder caused by alcohol	34938008
Nervios (disorder)	Nervios	34741005
Axis IV diagnosis (disorder)	Axis IV diagnosis	34485008
Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)	Bipolar II disorder, most recent episode major depressive with melancholic features	34315001
Shenjing shuairuo (disorder)	Shenjing shuairuo	34134009
